sourcenotation;x;y;z;targetnotation
TA - TD;100;1;100;500
TA 1000 - TA 1210;50;4;25;016.5
TA 1000 - TA 1210;50;4;25;505
TA 1230 - TA 9999;100;2;50;505
TB;;;;
TB 1010;100;2;50;503
TB 1012;100;2;50;502.9
TB 1015;100;2;50;501.4
TB 1020;50;4;25;025.524
TB 1024;50;4;25;808.0665
TB 1025;100;2;25;016.5
TB 1028;100;2;25;016.5
TB 1030;100;2;25;016.5
TB 1070;100;2;25;016.5
TB 1100 - TB 1600;100;2;50;501.4
TB 1700;100;2;25;509.2
TB 1710 - TB 1999;100;2;25;509.2
TB 2510 - TB 2799;100;2;25;509.2
TB 2800;100;2;50;509.22
TB 2810 - TB 3099;100;2;25;509.2
TB 3110 - TB 3399;100;2;25;509.2
TB 3410 - TB 3699;;;;
TB 3710 - TB 3999;;;;
TB 4000;50;4;25;352.745
TB 4020;100;2;50;508
TB 4050;100;1;100;507.11
TB 4052;100;1;100;502.3
TB 4053 - TB 4098;;;;
TB 4053;100;2;50;507.8
TB 4056;100;2;50;507.1
TB 4060;100;2;25;507.1
TB 4070;100;2;50;507.12
TB 4071;100;2;50;507.15
TB 4072;100;2;25;507.12
TB 4073;100;2;25;507.12
TB 4074;100;2;25;507.15
TB 4075;100;2;25;507.12
TB 4076;25;4;50;372.357
TB 4077;25;4;50;371.9044357
TB 4079;25;4;50;372.357
TB 4080;100;2;25;507.15
TB 4085;100;2;50;507.6
TB 4090;100;2;25;507.11
TB 4091;100;2;25;507.15
TB 4092;100;2;25;507.12
TB 4093;100;2;25;507.12
TB 4094;100;2;25;507.15
TB 4095;100;2;25;507.12
TB 4096;25;4;50;372.357
TB 4097;25;4;50;371.9044357
TB 4098;25;4;50;372.357
TB 4100;100;1;100;502.89
TB 5000;100;2;25;500
TB 6000 - TB 6500;;;;
TB 6000;;;;
TB 6100;100;2;50;201.65
TB 6200;100;2;50;501
TB 6300;100;2;50;700.105
TB 6400;50;4;50;306.45
TB 6500;;;;
TC;50;4;50;500
TC;50;4;50;503
TC 1500 - TC 2500;100;2;50;500
TC 5000;100;2;50;503
TD;;;;
TD 1000 - TD 1799;100;2;25;500
TD 1800 - TD 2500;100;2;25;500
TD 5000 - TD 9999;100;2;50;505
